cluster,Alveolar_macrophages;lung,Astrocytes;brain,B_cells;adipose_tissue,B_cells;bone_marrow,B_cells;breast,B_cells;liver,B_cells;lung,B_cells;muscle_organ,B_cells;spleen,Basal_cells;breast,Basal_cells_of_epidermis;skin_of_body,Basal_cells_of_epidermis;tongue,Basophils;bone_marrow,Bergmann_glial_cells;brain,Bladder_cells;urinary_bladder,Bladder_urothelial_cells;urinary_bladder,Blood_cells;trachea,Brain_pericytes;brain,Cardiomyocytes;heart,Cardiomyocytes;vasculature,Ciliated_columnar_cells_of_tracheobronchial_tree;lung,Classical_monocytes;lung,Common_lymphoid_progenitors;bone_marrow,Dendritic_cells;spleen,Double-negative_thymic_pro-T_cells;thymus,Ductal_epithelial_cells;liver,Early_pro-B_cells;bone_marrow,Epithelial_brush_cells;colon,Fraction_A_pre-pro_B_cells;bone_marrow,Kupffer_cell;liver,Langerhans_cell;tongue,Not_Annotated;adipose_tissue,Not_Annotated;heart,Not_Annotated;lung,Not_Annotated;muscle_organ,Not_Annotated;trachea,Not_Annotated;vasculature,Slamf1-negative_multipotent_progenitor_cells;bone_marrow,Slamf1-positive_multipotent_progenitor_cells;bone_marrow,T_cells;adipose_tissue,T_cells;bone_marrow,T_cells;breast,T_cells;lung,T_cells;muscle_organ,T_cells;spleen,collecting_duct_epithelial_cells;kidney,colon_epithelial_cells;colon,colon_goblet_cells;colon,endocardial_cells;heart,endocardial_cells;vasculature,endothelial_cells;adipose_tissue,endothelial_cells;brain,endothelial_cells;breast,endothelial_cells;heart,endothelial_cells;kidney,endothelial_cells;muscle_organ,endothelial_cells;pancreas,endothelial_cells;trachea,endothelial_cells;urinary_bladder,endothelial_cells;vasculature,enterocytes;colon,enteroendocrine_cells;colon,epidermal_cells;skin_of_body,epithelial_cells;trachea,epithelial_cells_of_proximal_tubule;kidney,erythroblasts;bone_marrow,erythrocytes;vasculature,fibroblasts;heart,fibroblasts;vasculature,granulocyte_monocyte_progenitor_cells;bone_marrow,granulocytes;bone_marrow,granulocytopoietic_cells;bone_marrow,hematopoietic_precursor_cells;bone_marrow,hepatocytes;liver,immature_B_cells;bone_marrow,immature_NK_T_cells;bone_marrow,immature_T_cells;bone_marrow,immature_T_cells;thymus,immature_natural_killer_cells;bone_marrow,keratinocyte_stem_cells;skin_of_body,keratinocytes;tongue,kidney_capillary_endothelial_cells;kidney,kidney_cells;kidney,late_pro-B_cells;bone_marrow,leukocytes;heart,leukocytes;kidney,leukocytes;liver,leukocytes;lung,leukocytes;pancreas,leukocytes;skin_of_body,leukocytes;thymus,leukocytes;urinary_bladder,loop_of_Henle_ascending_limb_epithelial_cells;kidney,luminal_epithelial_cells_of_mammary_gland;breast,lung_endothelial_cells;lung,lung_epithelial_cells;lung,lymphocytes;muscle_organ,macrophages;bone_marrow,macrophages;brain,macrophages;breast,macrophages;kidney,macrophages;muscle_organ,macrophages;spleen,mast_cells;lung,mature_natural_killer_cells;bone_marrow,megakaryocyte-erythroid_progenitor_cells;bone_marrow,mesangial_cells;kidney,mesenchymal_cells;trachea,mesenchymal_stem_cells;muscle_organ,mesenchymal_stem_cells_of_adipose;adipose_tissue,microglia;brain,monocytes;bone_marrow,monocytes;lung,myeloid_cells;adipose_tissue,myeloid_cells;lung,myofibroblasts;heart,naive_B_cells;bone_marrow,natural_killer_cells;adipose_tissue,natural_killer_cells;liver,natural_killer_cells;lung,natural_killer_cells;spleen,neuroendocrine_cells;trachea,neurons;brain,non-classical_monocytes;lung,oligodendrocyte_precursor_cells;brain,oligodendrocytes;brain,pancreatic_A_cells;pancreas,pancreatic_D_cells;pancreas,pancreatic_PP_cells;pancreas,pancreatic_acinar_cells;pancreas,pancreatic_beta_cells;pancreas,pancreatic_ductal_cells;pancreas,pancreatic_stellate_cells;pancreas,pre-natural_killer_cells;bone_marrow,precursor_B_cells;bone_marrow,proerythroblasts;bone_marrow,professional_antigen_presenting_cells;vasculature,promonocytes;bone_marrow,proximal_straight_tubule_epithelial_cells;kidney,regulatory_T_cells;bone_marrow,sinusoidal_endothelial_cells;liver,skeletal_muscle_satellite_cells;muscle_organ,skeletal_muscle_satellite_stem_cells;muscle_organ,smooth_muscle_cells;heart,stem_cells_of_epidermis;skin_of_body,stromal_cells;breast,stromal_cells;lung,type_II_pneumocytes;lung
Alveolar_macrophages;lung_TRUE,21,19,24,24,24,24,24,24,24,9,9,9,13,23,1,0,22,10,17,17,3,20,13,22,18,20,6,0,5,17,10,0,0,0,0,0,0,22,22,23,23,23,23,23,23,20,20,10,2,2,22,22,22,22,22,22,22,22,22,22,15,3,14,22,20,7,22,20,20,24,18,0,6,21,6,21,18,18,20,22,20,6,9,5,21,21,21,21,21,21,21,21,20,20,19,21,23,23,23,23,23,23,23,21,20,7,9,7,20,19,19,24,24,20,20,11,16,20,20,20,20,5,23,20,9,12,3,0,0,7,5,1,8,20,14,2,21,0,20,12,19,1,22,16,22,15,15,6
Astrocytes;brain_TRUE,24,25,25,25,25,25,25,25,25,18,17,17,7,25,3,1,21,13,21,21,1,20,7,19,19,21,4,0,1,16,9,0,0,0,0,0,0,25,25,24,24,24,24,24,24,21,21,8,2,2,21,21,21,21,21,21,21,21,21,21,7,2,13,23,21,7,21,22,22,25,15,0,2,23,2,24,19,19,22,25,16,10,13,1,24,24,24,24,24,24,24,24,21,21,21,21,25,24,24,24,24,24,24,20,22,5,12,11,24,23,21,22,22,15,15,16,15,22,22,22,22,7,24,20,17,23,1,0,0,7,8,1,6,22,16,0,25,0,21,12,21,0,25,12,25,19,19,2
B_cells;adipose_tissue_TRUE,18,16,24,24,24,24,24,24,24,14,14,14,11,20,3,0,20,13,14,14,2,22,11,24,21,21,15,0,10,14,9,0,0,0,0,0,0,21,21,24,24,24,24,24,24,21,21,5,0,0,23,23,23,23,23,23,23,23,23,23,15,6,14,22,21,9,20,19,19,23,19,0,5,20,14,23,21,21,23,22,14,5,8,13,24,24,24,24,24,24,24,24,21,21,21,21,24,24,24,24,24,24,24,23,23,7,8,10,18,18,22,23,23,22,22,11,20,23,23,23,23,4,22,22,6,12,4,0,0,6,9,0,4,23,18,2,24,1,21,19,21,1,21,14,21,19,19,3
B_cells;bone_marrow_TRUE,16,16,25,25,25,25,25,25,25,13,12,12,8,18,7,1,18,9,11,11,1,20,10,23,21,18,9,0,6,16,9,0,0,0,0,0,0,21,21,25,25,25,25,25,25,18,18,7,2,2,21,21,21,21,21,21,21,21,21,21,10,3,16,23,18,11,18,21,21,22,16,0,3,19,8,22,21,21,22,22,16,5,9,6,24,24,24,24,24,24,24,24,18,18,18,18,24,23,23,23,23,23,23,20,22,7,8,11,21,20,16,21,21,20,20,11,19,22,22,22,22,1,23,20,3,9,2,0,0,6,3,1,5,22,16,1,20,2,18,15,18,0,21,12,21,19,19,6
B_cells;breast_TRUE,20,13,25,25,25,25,25,25,25,8,8,8,2,14,0,0,24,1,20,20,0,17,12,21,16,16,0,0,0,18,11,0,0,0,0,0,0,24,24,25,25,25,25,25,25,16,16,4,0,0,20,20,20,20,20,20,20,20,20,20,2,0,16,22,16,14,24,25,25,25,12,0,0,22,1,24,16,16,22,24,16,3,4,0,22,22,22,22,22,22,22,22,16,16,15,17,25,25,25,25,25,25,25,10,22,3,3,2,17,17,10,19,19,14,14,16,15,22,22,22,22,1,24,17,4,5,0,0,0,2,2,0,2,22,14,2,24,0,16,4,15,0,24,6,24,15,15,2
B_cells;liver_TRUE,17,16,23,23,23,23,23,23,23,14,14,14,9,20,3,0,18,12,10,10,1,18,10,22,19,19,13,0,8,14,8,0,0,0,0,0,0,19,19,23,23,23,23,23,23,19,19,4,0,0,21,21,21,21,21,21,21,21,21,21,13,5,12,20,19,9,18,17,17,21,17,0,4,18,12,21,19,19,21,20,13,3,7,11,22,22,22,22,22,22,22,22,19,19,19,19,22,22,22,22,22,22,22,20,21,6,8,8,17,17,21,20,20,19,19,8,17,21,21,21,21,3,21,18,3,9,2,0,0,6,6,0,1,21,14,1,22,1,19,15,19,0,19,13,19,19,19,2
B_cells;lung_TRUE,17,17,22,22,22,22,22,22,22,14,14,14,6,15,1,0,21,7,14,14,0,18,10,19,17,21,9,0,7,17,9,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,3,0,0,20,20,20,20,20,20,20,20,20,20,11,2,14,21,21,12,21,22,22,21,15,0,4,21,9,20,17,17,19,22,19,2,8,9,22,22,22,22,22,22,22,22,21,21,17,21,22,22,22,22,22,22,22,16,19,6,6,7,16,16,18,19,19,18,18,8,17,19,19,19,19,4,21,18,5,10,1,0,0,4,4,0,0,19,17,0,21,0,21,10,17,0,21,8,21,18,18,1
B_cells;muscle_organ_TRUE,19,15,24,24,24,24,24,24,24,11,11,11,4,15,1,0,23,4,18,18,0,19,10,22,17,19,5,0,3,18,11,0,0,0,0,0,0,24,24,24,24,24,24,24,24,19,19,3,0,0,22,22,22,22,22,22,22,22,22,22,6,2,13,22,19,14,23,24,24,24,14,0,3,21,6,23,17,17,21,24,18,3,6,5,22,22,22,22,22,22,22,22,19,19,17,19,24,24,24,24,24,24,24,12,21,5,5,6,18,18,15,20,20,16,16,12,17,21,21,21,21,4,23,19,5,8,1,0,0,4,4,0,2,21,14,2,23,0,19,7,17,0,24,6,24,18,18,3
B_cells;spleen_TRUE,17,15,24,24,24,24,24,24,24,15,14,14,11,19,1,0,22,11,15,15,2,20,10,21,19,19,14,0,10,17,12,0,0,0,0,0,0,20,20,22,22,22,22,22,22,19,19,7,0,0,19,19,19,19,19,19,19,19,19,19,10,4,13,23,19,14,22,22,22,22,16,0,3,19,14,23,19,19,23,20,15,6,12,10,22,22,22,22,22,22,22,22,19,19,17,19,23,23,23,23,23,23,23,17,23,10,11,8,22,22,18,21,21,20,20,9,20,23,23,23,23,4,20,20,6,12,2,0,0,7,8,1,5,23,18,0,24,1,19,16,17,1,20,10,20,19,19,4
Basal_cells;breast_TRUE,21,20,25,25,25,25,25,25,25,17,16,16,6,20,7,0,24,12,20,20,3,20,10,20,17,22,7,0,4,16,9,0,0,0,0,0,0,25,25,24,24,24,24,24,24,22,22,12,2,2,22,22,22,22,22,22,22,22,22,22,11,1,21,25,22,11,24,23,23,25,18,0,1,23,4,23,17,17,23,25,23,11,14,4,23,23,23,23,23,23,23,23,22,22,22,22,23,25,25,25,25,25,25,17,23,6,15,13,23,23,15,21,21,16,16,16,13,23,23,23,23,5,24,20,5,10,1,0,1,9,8,2,9,23,21,1,24,2,22,12,22,0,25,16,25,18,18,4
